group,temp,phi,phip,log10_epsp,kf
0,350.20193242946414,0.047046395853455464,0.001,-3.0,43.493890307313016
0,350.2035282,0.04738553,0.001,-3.0,43.50484085
0,350.20452742376176,0.047617693363863456,0.001,-3.0,43.49600384607092
0,350.20698627014445,0.04818899087427145,0.001,-3.0,43.474258131070336
0,350.2094451165271,0.04876028838467944,0.001,-3.0,43.45251241606975
0,350.2103524,0.04897109,0.001,-3.0,43.44448852
0,350.2114497135584,0.04933158589508743,0.001,-3.0,43.45649509760013
0,350.2131886862142,0.04990288340549543,0.001,-3.0,43.47552257609559
0,350.21492765887,0.05047418091590342,0.001,-3.0,43.49455005459106
0,350.2151817,0.05055764,0.001,-3.0,43.49732972
0,350.21567812664415,0.051045478426311415,0.001,-3.0,43.50522001222375
0,350.21625948163916,0.05161677593671941,0.001,-3.0,43.5144601705645
0,350.2167973,0.05214529,0.001,-3.0,43.52300835
0,350.2167341650507,0.0521880734471274,0.001,-3.0,43.522855346169116
0,350.215891109108,0.0527593709575354,0.001,-3.0,43.52081224974904
0,350.2150480531653,0.05333066846794339,0.001,-3.0,43.518769153328975
0,350.2144527,0.05373411,0.001,-3.0,43.51732635
0,350.21379849847335,0.05390196597835138,0.001,-3.0,43.514199121634356
0,350.2115719247932,0.054473263488759374,0.001,-3.0,43.503555605702935
0,350.209345351113,0.05504456099916737,0.001,-3.0,43.492912089771515
0,350.2082565,0.05532394,0.001,-3.0,43.48770714
0,350.2066008027822,0.055615858509575365,0.001,-3.0,43.49027764847789
0,350.2033605296666,0.05618715601998336,0.001,-3.0,43.49530824792854
0,350.20012025655103,0.05675845353039135,0.001,-3.0,43.50033884737919
0,350.1992365,0.05691427,0.001,-3.0,43.5017109
0,350.1965469912263,0.05732975104079934,0.001,-3.0,43.50720349612661
0,350.19284884494346,0.05790104855120734,0.001,-3.0,43.51475596226747
0,350.1891506986606,0.05847234606161533,0.001,-3.0,43.52230842840833
0,350.1889434,0.05850437,0.001,-3.0,43.52273178
0,350.1855148271166,0.059043643572023324,0.001,-3.0,43.49111907709593
0,350.18188265366297,0.059614941082431316,0.001,-3.0,43.45762910205673
0,350.1788392,0.06009364,0.001,-3.0,43.42956734
0,350.17831479453986,0.06018623859283931,0.001,-3.0,43.431099447964634
0,350.17507941563565,0.06075753610324731,0.001,-3.0,43.440551961648
0,350.1718440367314,0.0613288336136553,0.001,-3.0,43.45000447533137
