temp,phi,phip,kf
350.1720057,0.20804119,0.001,42.36814308
350.1801085,0.20962881,0.001,42.35531235
350.1845743,0.21121764,0.001,42.36013222
350.1859081,0.21280769,0.001,42.35935974
350.1850299,0.21439877,0.001,42.31135178
350.1829816,0.21599065,0.001,42.28118896
350.1806792,0.2175831,0.001,42.29415703
350.1786358,0.21917593,0.001,42.27758217
350.1767779,0.22076898,0.001,42.24335861
350.1745865,0.22236222,0.001,42.28344536
350.1715822,0.22395574,0.001,42.24711418
350.167785,0.22554964,0.001,42.2087326
350.1637334,0.227144,0.001,42.21821022
350.160112,0.22873876,0.001,42.21773338
350.1574295,0.23033379,0.001,42.1808548
350.1559977,0.23192883,0.001,42.13234329
350.1560251,0.23352355,0.001,42.15944862
350.1575561,0.23511771,0.001,42.14199257
350.160282,0.23671132,0.001,42.11549377
350.1635017,0.23830456,0.001,42.09710121
350.1664032,0.23989765,0.001,42.11290359
350.1684584,0.24149068,0.001,42.07191085
350.1695767,0.24308366,0.001,42.07078553
350.1699445,0.24467665,0.001,42.08022499
350.1697909,0.2462697,0.001,42.03505897
350.1692624,0.24786282,0.001,42.00162316
350.1683827,0.249456,0.001,42.02054024
350.1670516,0.25104945,0.001,41.98618889
350.1651303,0.2526436,0.001,41.96915818
350.1626469,0.25423894,0.001,41.93948555
350.1600586,0.2558356,0.001,41.95994377
350.1583848,0.25743316,0.001,41.9224472
350.1589711,0.25903083,0.001,41.88131333
350.1628781,0.26062784,0.001,41.86952591
350.17031,0.2622238,0.001,41.85533523
350.1805115,0.26381876,0.001,41.87430954
350.1920618,0.26541303,0.001,41.8293171
350.2032652,0.26700703,0.001,41.88228988
350.2125992,0.26860105,0.001,41.85943985
350.2192385,0.27019515,0.001,41.72965431
350.2233249,0.2717891,0.001,41.82005882
350.2256478,0.27338268,0.001,41.78501892
350.2269825,0.27497601,0.001,41.7466526
350.2276957,0.27656968,0.001,41.74269867
350.2278343,0.27816448,0.001,41.69285202
350.2273202,0.27976095,0.001,41.74111176
350.2259013,0.28135924,0.001,41.7131958
350.2230313,0.28295907,0.001,41.65960312
350.2181093,0.28456001,0.001,41.6428318
350.2110712,0.28616162,0.001,41.64959526
350.2027702,0.28776351,0.001,41.58711243
350.1947225,0.28936535,0.001,41.58820916
350.1884446,0.29096674,0.001,41.56505394
350.1849052,0.29256728,0.001,41.52541924
350.1843197,0.29416664,0.001,41.54810715
350.1862104,0.29576471,0.001,41.52379608
350.189608,0.29736155,0.001,41.49907112
350.1933218,0.29895729,0.001,41.44137573
350.196252,0.30055211,0.001,41.51379013
350.1977204,0.30214622,0.001,41.41703605
350.1977062,0.30373988,0.001,41.38507462
350.1968051,0.30533326,0.001,41.41802406
350.1958396,0.30692641,0.001,41.36328697
350.1953359,0.30851934,0.001,41.38803864
350.1952848,0.31011216,0.001,41.34646987
350.1953831,0.31170513,0.001,41.31871987
350.1954305,0.31329851,0.001,41.27894211
350.1954191,0.31489249,0.001,41.30089378
350.1953065,0.31648708,0.001,41.27307892
350.1948624,0.31808215,0.001,41.24029923
350.1938015,0.31967746,0.001,41.19932556
350.1920081,0.32127278,0.001,41.2166977
350.1895864,0.32286791,0.001,41.21208763
350.1867287,0.32446289,0.001,41.17601586
350.1836137,0.32605795,0.001,41.12825203
350.180479,0.32765337,0.001,41.12835693
350.1777477,0.32924929,0.001,41.1345005
350.175945,0.33084566,0.001,41.06337738
350.175368,0.33244227,0.001,41.09475327
350.1758202,0.33403889,0.001,41.05250168
350.1767101,0.33563525,0.001,41.00572396
350.1774216,0.33723108,0.001,41.0067215
350.1775843,0.33882631,0.001,41.01148033
350.1770458,0.34042119,0.001,40.9417572
350.175745,0.34201624,0.001,40.92183495
350.1737356,0.34361193,0.001,40.94134712
350.1712539,0.34520838,0.001,40.92029381
350.1686084,0.34680552,0.001,40.88386917
350.1660339,0.34840334,0.001,40.92554664
350.1638416,0.35000179,0.001,40.74569321
350.1627676,0.3516005,0.001,40.83961296
350.1640055,0.3531985,0.001,40.83253479
350.1686455,0.35479469,0.001,40.78659439
350.1768878,0.35638842,0.001,40.78074265
350.1876906,0.35797997,0.001,40.69859123
350.1991363,0.35957048,0.001,40.74321174
350.2091592,0.3611614,0.001,40.74035263
350.2160883,0.36275392,0.001,40.72009277
350.2188531,0.36434852,0.001,40.7019558
350.2170902,0.36594485,0.001,40.64391899
350.2112616,0.36754202,0.001,40.63768577
350.2025444,0.36913913,0.001,40.61645508
350.192306,0.37073576,0.001,40.59656334
350.181483,0.37233205,0.001,40.55677986
350.1704601,0.37392845,0.001,40.57015419
350.1595838,0.3755253,0.001,40.54067993
350.1497198,0.37712255,0.001,40.5277729
350.1422136,0.37871986,0.001,40.50289345
350.1383065,0.38031681,0.001,40.44529725
350.1385624,0.38191317,0.001,40.45182991
350.1426547,0.38350897,0.001,40.42464447
350.149481,0.38510439,0.001,40.41671753
350.1575043,0.38669959,0.001,40.41976356
350.1652453,0.38829453,0.001,40.37148094
350.1716836,0.389889,0.001,40.41028977
350.1762565,0.39148291,0.001,40.34885025
350.1785125,0.39307659,0.001,40.28930854
350.1779244,0.39467088,0.001,40.31848907
350.1742463,0.39626671,0.001,40.26554298
350.168134,0.39786452,0.001,40.2920742
350.1613329,0.39946394,0.001,40.26275444
350.1560544,0.40106397,0.001,40.23489189
350.1538997,0.40266361,0.001,40.1745224
350.1551317,0.40426227,0.001,40.14591408
350.1588178,0.40585984,0.001,40.12412644
350.1635941,0.40745641,0.001,40.16596222
350.1683381,0.40905208,0.001,40.13005256
350.1723769,0.41064693,0.001,40.16945458
350.1754491,0.41224096,0.001,40.08813667
350.1776776,0.41383413,0.001,40.07209968
350.1794453,0.41542648,0.001,40.05344772
350.181021,0.4170184,0.001,40.0654087
350.1821514,0.41861072,0.001,39.96924972
350.1820564,0.42020445,0.001,40.03431129
350.1799672,0.42180026,0.001,39.99911117
350.1758395,0.42339794,0.001,39.9996624
350.1706964,0.42499635,0.001,39.92975807
