group,temp,phi,phip,log10_epsp,kf
0,350.1958812,0.01293235,0.001,-3.0,41.00961304
0,350.1956955077156,0.013024398279301746,0.001,-3.0,41.02613908920866
0,350.19543418330045,0.01315393765586035,0.001,-3.0,41.04939616829484
0,350.1951728588853,0.013283477032418953,0.001,-3.0,41.07265324738102
0,350.1949115344702,0.013413016408977557,0.001,-3.0,41.0959103264672
0,350.19465021005504,0.01354255578553616,0.001,-3.0,41.11916740555338
0,350.1943888856399,0.013672095162094763,0.001,-3.0,41.142424484639555
0,350.19412756122483,0.013801634538653367,0.001,-3.0,41.165681563725734
0,350.1938662368097,0.01393117391521197,0.001,-3.0,41.18893864281191
0,350.1936049123946,0.014060713291770574,0.001,-3.0,41.212195721898084
0,350.1933435879795,0.014190252668329177,0.001,-3.0,41.23545280098426
0,350.1930822635644,0.01431979204488778,0.001,-3.0,41.258709880070434
0,350.1928626,0.01442868,0.001,-3.0,41.27825927
0,350.19282533574915,0.014449331421446384,0.001,-3.0,41.282975103228935
0,350.1925915897169,0.014578870798004987,0.001,-3.0,41.31255592884023
0,350.1923578436847,0.014708410174563593,0.001,-3.0,41.34213675445153
0,350.1921240976525,0.014837949551122196,0.001,-3.0,41.37171758006283
0,350.19189035162026,0.0149674889276808,0.001,-3.0,41.401298405674126
0,350.19165660558804,0.015097028304239403,0.001,-3.0,41.430879231285424
0,350.1914228595558,0.015226567680798006,0.001,-3.0,41.46046005689672
0,350.1911891135236,0.01535610705735661,0.001,-3.0,41.49004088250802
0,350.19095536749137,0.015485646433915213,0.001,-3.0,41.51962170811932
0,350.19072162145915,0.015615185810473817,0.001,-3.0,41.54920253373061
0,350.19048787542687,0.01574472518703242,0.001,-3.0,41.578783359341905
0,350.19025412939465,0.01587426456359102,0.001,-3.0,41.608364184953196
0,350.1901218,0.0159476,0.001,-3.0,41.62511062
0,350.1900187861619,0.016003803940149625,0.001,-3.0,41.632082094763156
0,350.18978135888665,0.016133343316708227,0.001,-3.0,41.64815001619551
0,350.1895439316114,0.016262882693266832,0.001,-3.0,41.66421793762786
0,350.1893065043362,0.016392422069825434,0.001,-3.0,41.68028585906021
0,350.18906907706094,0.01652196144638404,0.001,-3.0,41.696353780492565
0,350.1888316497857,0.01665150082294264,0.001,-3.0,41.71242170192491
0,350.18859422251046,0.016781040199501246,0.001,-3.0,41.72848962335726
0,350.1883567952352,0.01691057957605985,0.001,-3.0,41.744557544789615
0,350.1881193679599,0.017040118952618453,0.001,-3.0,41.76062546622196
0,350.1878819406847,0.017169658329177058,0.001,-3.0,41.77669338765431
0,350.1876445134094,0.01729919770573566,0.001,-3.0,41.79276130908666
0,350.18740708613416,0.017428737082294265,0.001,-3.0,41.80882923051901
0,350.1873073,0.01748318,0.001,-3.0,41.81558227
0,350.18717593068425,0.017558276458852867,0.001,-3.0,41.8306310091267
0,350.1869493221395,0.01768781583541147,0.001,-3.0,41.856589680337606
0,350.1867227135948,0.017817355211970073,0.001,-3.0,41.882548351548515
0,350.18649610505,0.01794689458852868,0.001,-3.0,41.90850702275942
0,350.1862694965053,0.01807643396508728,0.001,-3.0,41.93446569397033
0,350.1860428879605,0.018205973341645885,0.001,-3.0,41.96042436518124
0,350.1858162794158,0.018335512718204487,0.001,-3.0,41.98638303639215
0,350.185589670871,0.018465052094763092,0.001,-3.0,42.01234170760306
0,350.1853630623263,0.018594591471321694,0.001,-3.0,42.03830037881397
0,350.1851364537815,0.0187241308478803,0.001,-3.0,42.06425905002489
0,350.1849098452368,0.0188536702244389,0.001,-3.0,42.090217721235796
0,350.184683236692,0.018983209600997506,0.001,-3.0,42.11617639244671
0,350.1845996,0.01903102,0.001,-3.0,42.12575722
0,350.1844978942748,0.019112748977556108,0.001,-3.0,42.134216190704855
0,350.18433669201056,0.019242288354114713,0.001,-3.0,42.147623550299954
0,350.18417548974634,0.019371827730673315,0.001,-3.0,42.161030909895054
0,350.18401428748206,0.01950136710723192,0.001,-3.0,42.17443826949015
0,350.18385308521783,0.01963090648379052,0.001,-3.0,42.18784562908525
0,350.18369188295355,0.019760445860349127,0.001,-3.0,42.20125298868035
0,350.18353068068933,0.01988998523690773,0.001,-3.0,42.21466034827545
0,350.18336947842505,0.020019524613466334,0.001,-3.0,42.22806770787055
0,350.1832082761608,0.020149063990024935,0.001,-3.0,42.24147506746565
0,350.18304707389655,0.02027860336658354,0.001,-3.0,42.25488242706075
