36-1_DIL_202-19_AA6082.asc    T=325∞C    phi∞=0.001    Yield=0.23121452
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
   184        365.40551758    325.16425287     0.27276767     49.17890739
   185        367.00848389    325.16890226     0.27434584     49.14762630
   186        368.61148071    325.17576504     0.27592412     49.12546585
   187        370.21447754    325.18351087     0.27750220     49.10966881
   188        371.81744385    325.18990575     0.27908049     49.09923057
   189        373.42047119    325.19300151     0.28066007     49.09264385
   190        375.02343750    325.19232607     0.28224206     49.08212951
   191        376.62643432    325.18932486     0.28382660     49.06425334
   192        378.22943115    325.18668289     0.28541231     49.04178155
   193        379.83239746    325.18676650     0.28699678     49.01533300
   194        381.43539429    325.19019330     0.28857819     48.98752648
   195        383.03839111    325.19562635     0.29015636     48.96948080
   196        384.64138794    325.20082091     0.29173254     48.96597682
   197        386.24435425    325.20383813     0.29330826     48.96171028
   198        387.84738159    325.20352191     0.29488451     48.94105473
   199        389.45034790    325.19940021     0.29646168     48.90971400
   200        391.05334473    325.19166477     0.29803984     48.88162948
   201        392.65634155    325.18144182     0.29961875     48.86004285
   202        394.25930786    325.17098539     0.30119770     48.84175747
   203        395.86230469    325.16337807     0.30277554     48.82419789
   204        397.46530151    325.16174219     0.30435100     48.80494116
   205        399.06829834    325.16817278     0.30592328     48.78315611
   206        400.67126465    325.18249520     0.30749257     48.76125468
   207        402.27429199    325.20142030     0.30906012     48.74347061
   208        403.87725830    325.21940814     0.31062781     48.73061559
   209        405.48022461    325.23153572     0.31219727     48.71904661
   210        407.08325195    325.23618099     0.31376940     48.70299125
   211        408.68621826    325.23497287     0.31534458     48.67922649
   212        410.28921509    325.23037376     0.31692307     48.65656893
   213        411.89221191    325.22369369     0.31850499     48.64365315
   214        413.49520874    325.21531571     0.32008981     48.63118852
   215        415.09817505    325.20622309     0.32167595     48.60629201
   216        416.70120239    325.19875293     0.32326116     48.56969469
   217        418.30416870    325.19561971     0.32484343     48.53030002
   218        419.90713501    325.19813727     0.32642187     48.49809514
   219        421.51016235    325.20535487     0.32799684     48.48167899
   220        423.11312866    325.21492983     0.32956922     48.47602237
   221        424.71612549    325.22498472     0.33113973     48.46785727
   222        426.31912231    325.23533160     0.33270871     48.45377900
   223        427.92211914    325.24692293     0.33427646     48.43550994
   224        429.52508545    325.25993049     0.33584386     48.41604665
   225        431.12808227    325.27231821     0.33741247     48.40067548
   226        432.73107910    325.28051128     0.33898397     48.39272892
   227        434.33404541    325.28163070     0.34055928     48.38488732
   228        435.93707275    325.27520736     0.34213804     48.36375883
   229        437.54003906    325.26311211     0.34371874     48.33346440
   230        439.14306640    325.24819539     0.34529940     48.30585972
   231        440.74603271    325.23290198     0.34687847     48.28133997
   232        442.34902954    325.21885922     0.34845556     48.26022295
   233        443.95202637    325.20748416     0.35003130     48.24469402
   234        445.55499267    325.20048218     0.35160659     48.22858507
   235        447.15798950    325.19917328     0.35318197     48.20376245
   236        448.76098633    325.20324210     0.35475757     48.17492634
   237        450.36398315    325.21045736     0.35633326     48.15405405
   238        451.96694946    325.21767641     0.35790884     48.13984714
   239        453.56997681    325.22210680     0.35948438     48.12024635
   240        455.17294311    325.22218241     0.36106023     48.09522173
   241        456.77590942    325.21811339     0.36263668     48.07269727
   242        458.37893677    325.21184784     0.36421352     48.04856699
   243        459.98190307    325.20601476     0.36579019     48.01730137
   244        461.58489990    325.20231386     0.36736636     47.98691847
   245        463.18789673    325.20060360     0.36894255     47.96605992
   246        464.79089355    325.19944061     0.37052008     47.95214456
   247        466.39385986    325.19755190     0.37210006     47.93764468
   248        467.99688721    325.19492398     0.37368236     47.91864508
   249        469.59985351    325.19259075     0.37526527     47.89371513
   250        471.20281982    325.19153598     0.37684650     47.86398271
   251        472.80584717    325.19196232     0.37842427     47.83888748
   252        474.40881348    325.19340320     0.37999815     47.82363973
   253        476.01181030    325.19505035     0.38156919     47.80738431
   254        477.61483765    325.19593788     0.38313955     47.78627299
   255        479.21780395    325.19532498     0.38471150     47.77013168
   256        480.82077026    325.19327577     0.38628616     47.75304356
   257        482.42379761    325.19081567     0.38786304     47.72221504
   258        484.02676391    325.18929490     0.38944083     47.68467979
   259        485.62973022    325.18934850     0.39101863     47.65613848
   260        487.23275757    325.19033034     0.39259653     47.64483978
   261        488.83572388    325.19090658     0.39417508     47.64360082
   262        490.43869018    325.19053276     0.39575416     47.63074810
   263        492.04171753    325.19046705     0.39733257     47.59454677
   264        493.64474487    325.19305641     0.39890870     47.54932913
   265        495.24765015    325.19969420     0.40048160     47.51569961
   266        496.85067749    325.20947506     0.40205152     47.49866711
   267        498.45370483    325.21993500     0.40361931     47.48931818
   268        500.05661011    325.22883540     0.40518570     47.47621289
   269        501.65963745    325.23494281     0.40675122     47.45498398
   270        503.26266479    325.23749109     0.40831682     47.43228662
   271        504.86563110    325.23578238     0.40988427     47.41674900
   272        506.46859741    325.22975246     0.41145541     47.40722119
   273        508.07162475    325.22067465     0.41303083     47.39238359
   274        509.67459106    325.21094694     0.41460931     47.36536407
   275        511.27755737    325.20302100     0.41618844     47.33367518
   276        512.88058472    325.19833856     0.41776616     47.30421329
   277        514.48348999    325.19686301     0.41934182     47.27882499
   278        516.08651733    325.19712842     0.42091627     47.25795333
